abbr,full,type
-л.,-либо,label
-н.,-нибудь,label
анат.,анатомия,label
астр.,астрономия,label
афф.,аффикс,label
биол.,биология,label
благопож.,благопожелание,label
бот.,ботаника,label
бран.,бранное,label
в знач.,в значении,label
в разн. знач.,в разных значениях,label
вводн. сл.,вводное слово,label
вет.,ветеринария,label
взаимн.,совм. – взаимно-совместный,label
воен.,военный термин,label
возвр.,возвратный,label
высок.,высокое,label
геогр.,география,label
гл.,глагол,label
грам.,грамматика,label
груб.,грубое,label
др.,другой,label
ед. ч.,единственное число,label
ж.,женский род,label
заг.,загадка,label
звукоподр.,звукоподражательное,label
знач.,значение,label
зоол.,зоология,label
ирон.,ироническое,label
иск.,искусство,label
ист.,история,label
карт.,термин карточной игры,label
книжн.,книжное,label
кул.,кулинария,label
ласк.,ласкательное,label
лингв.,лингвистика,label
лит.,"литература, литературоведение",label
м.,мужской род,label
мат.,математика,label
мед.,медицина,label
межд.,междометие,label
метео.,метеорология,label
мех.,механика,label
миф.,мифология,label
мн. ч.,множественное число,label
мод.,модальное,label
мор.,морской термин,label
муз.,музыка,label
напр.,например,label
неодобр.,неодобрительное,label
офиц.,официальное,label
охот.,охотничий термин,label
перен.,переносное значение,label
погов.,поговорка,label
полит.,политический термин,label
понуд.,понудительный залог,label
посл.,пословица,label
презр.,презрительное,label
пренебр.,пренебрежительное,label
прост.,просторечное,label
прям.,прямое значение,label
разг.,разговорное,label
разн.,разный,label
рел.,религия,label
с.,х. – сельское хозяйство,label
служ.,служебное,label
см.,смотри,label
собир.,собирательное,label
спорт.,спортивное,label
ср.,сравни,label
сравн. ст.,сравнительная степень,label
страд.,страдательный залог,label
сущ.,существительное,label
т.д.,так далее,label
т.п.,тому подобное,label
табуир.,табуированное,label
театр.,театральный термин,label
тех.,техника,label
типогр.,типографский термин,label
уменьш.,ласк. – уменьшительно-,label
уст.,устарелое,label
ф.,форма,label
физ.,физика,label
физиол.,физиология,label
филос.,философия,label
фин.,финансовый термин,label
фольк.,фольклор,label
функц.,функция,label
хим.,химия,label
ч.,число,label
числ.,имя числительное,label
эвф.,эвфемизм,label
эк.,экономика,label
эл.,электротехника,label
этн.,этнография,label
юр.,юридический термин,label
