entry_id,headword_raw,headword_norm,homonym_roman,pos_primary,labels,has_phrases,raw_text,page_start,page_end
1,РУССКИЙ,русский,,,,0,РУССКИЙ АЛФАВИТ,13,13
2,Аа,аа,,,,0,Аа Ёё Лл Сс,13,13
3,Бб,бб,,,,0,Бб Жж Мм Тт,13,13
4,Вв,вв,,,,0,Вв Зз Нн Уу,13,13
5,Гг,гг,,,,0,Гг Ии Оо Фф,13,13
6,Дд,дд,,,,0,Дд Йй Пп Хх,13,13
7,Ее,ее,,,,0,Ее Кк Рр Цц,13,13
8,АЛТАЙСКИЙ,алтайский,,,,0,АЛТАЙСКИЙ АЛФАВИТ*,13,13
9,Аа,аа,,,,0,Аа Ёё Мм Сс,13,13
10,Бб,бб,,,,0,Бб Жж Нн Тт,13,13
11,Вв,вв,,,,0,Вв Зз Ҥҥ Уу,13,13
12,Гг,гг,,,,0,Гг Ии Оо Ӱӱ,13,13
13,Дд,дд,,,,0,Дд Йй Ӧӧ Фф,13,13
14,Jj,jj,,,,0,Jj Кк Пп Хх,13,13
15,Ее,ее,,,,0,"Ее Лл Рр Цц *Примечание: Буквы Вв, Ёё, Фф, Хх, Цц, Щщ, Ъъ, словах, заимствованных из русского языка.",13,13
16,-,-,,,,0,- 14 -,13,13
17,Чч,чч,,,,0,Чч Ээ,13,13
18,Шш,шш,,,,0,Шш Юю,13,13
19,Щщ,щщ,,,,0,Щщ Яя,13,13
20,Ъъ,ъъ,,,,0,Ъъ,13,13
21,Ыы,ыы,,,,0,Ыы,13,13
22,Ьь,ьь,,,,0,Ьь,13,13
23,Чч,чч,,,,0,Чч Юю,13,13
24,Шш,шш,,,,0,Шш Яя,13,13
25,Щщ,щщ,,,,0,Щщ,13,13
26,Ъъ,ъъ,,,,0,Ъъ,13,13
27,Ыы,ыы,,,,0,Ыы,13,13
28,Ьь,ьь,,,,0,Ьь,13,13
29,Ээ,ээ,,,,0,Ээ,13,13
30,"Ьь,",ьь,,,,0,"Ьь, Юю, Яя используются только в",13,14
