entry_id,phrase_id,phrase_alt_raw,phrase_alt_norm,phrase_ru,raw_block
5,1,бир (јаҥыс) аай 1) одновременно,бир (јаҥыс) аай 1) одновременно,"2) в один ряд, по порядку; 3) заодно; аайына чыгар 1) выяснять, разбираться; 2) решать","бир (јаҥыс) аай 1) одновременно; 2) в один ряд, по порядку; 3) заодно; аайына чыгар 1) выяснять, разбираться; 2) решать"
15,1,"аайлап салар 1) покончить, разо- браться с кем-л., чем-л.","аайлап салар 1) покончить, разобраться с кем-л., чем-л.",2) убить кого-л.,"аайлап салар 1) покончить, разо- браться с кем-л., чем-л.; 2) убить кого-л."
21,1,не аайлу 1) как сильно,не аайлу 1) как сильно,2) как много,не аайлу 1) как сильно; 2) как много
32,1,Аамайдыҥ сӧзи кезем (Посл.) Речь глупца резка,аамайдыҥ сӧзи кезем (посл.) речь глупца резка,,Аамайдыҥ сöзи кезем (Посл.) Речь глупца резка
106,1,"Агару сӧс алкышту, албатыга быйанду (Посл.) Священное слово благословенно, для народа благодатно","агару сӧс алкышту, албатыга быйанду (посл.) священное слово благословенно, для народа благодатно",,"Агару сöс алкышту, албатыга быйанду (Посл.) Священное слово благословенно, для народа благодатно"
112,1,карчый агаш крест,карчый агаш крест,"Агаш тазылы jер ӧдӧр, кижи тазылы эл ӧдӧр (Посл.) Корни дерева сквозь землю прорастают, корни человека сквозь народ прорастают","карчый агаш крест; Агаш тазылы jер öдöр, кижи тазылы эл öдöр (Посл.) Корни дерева сквозь землю прораста- ют, корни человека сквозь народ прорастают"
131,1,"Агын су- уда балык бар, албатыда арга бар (Погов.) В быстротечной реке рыба есть, у народа воз- можность есть","агын сууда балык бар, албатыда арга бар (погов.) в быстротечной реке рыба есть, у народа возможность есть","Агын сууны кӱрле кечер, ас улус jӧплӧ jеҥер (Погов.) Быстротечную реку по мосту переходят, малочисленный народ солидарностью побеждает","Агын су- уда балык бар, албатыда арга бар (Погов.) В быстротечной реке рыба есть, у народа воз- можность есть; Агын сууны кÿрле кечер, ас улус jöплö jеҥер (Погов.) Быстротечную реку по мосту переходят, малочисленный на- род солидарностью побеждает"
146,1,Аданыҥ айтканы алтыннаҥ баалу (Посл.) Сказанное отцом дороже золота,аданыҥ айтканы алтыннаҥ баалу (посл.) сказанное отцом дороже золота,Адазыныҥ адаанын балаКакой отец — такие и дети,Аданыҥ айтканы алтыннаҥ баалу (Посл.) Сказанное отцом дороже золота; Адазыныҥ адаанын бала- Какой отец — такие и дети
158,1,адакы сӧс послес- ловие,адакы сӧс послесловие,,адакы сöс послес- ловие
182,1,jер адару шмель,jер адару шмель,сары адару оса,jер адару шмель; сары адару оса
