abbr,full,type
анат.,анатомия,label
лит.,"литература, литературоведение",label
астр.,астрономия,label
м.,мужской род,label
афф.,аффикс,label
мат.,математика,label
биол.,биология,label
мед.,медицина,label
благопож.,благопожелание,label
межд.,междометие,label
бот.,ботаника,label
метео.,метеорология,label
бран.,бранное,label
мех.,механика,label
в знач.,в значении,label
миф.,мифология,label
в разн. знач.,в разных значениях,label
мн. ч.,множественное число,label
вводн. сл.,вводное слово,label
мод.,модальное,label
мор.,морской термин,label
вет.,ветеринария,label
муз.,музыка,label
взаимн.,совм. – взаимно-совместный,label
-н.,-нибудь,label
напр.,например,label
воен.,военный термин,label
неодобр.,неодобрительное,label
возвр.,возвратный,label
офиц.,официальное,label
высок.,высокое,label
геогр.,география,label
офиц.,дел. – официально-деловой,label
гл.,глагол,label
охот.,охотничий термин,label
грам.,грамматика,label
перен.,переносное значение,label
груб.,грубое,label
погов.,поговорка,label
полит.,политический термин,label
др.,другой,label
посл.,пословица,label
ед. ч.,единственное число,label
понуд.,понудительный залог,label
ж.,женский род,label
презр.,презрительное,label
заг.,загадка,label
пренебр.,пренебрежительное,label
звукоподр.,звукоподражательное,label
прост.,просторечное,label
знач.,значение,label
прям.,прямое значение,label
зоол.,зоология,label
разг.,разговорное,label
ирон.,ироническое,label
разн.,разный,label
иск.,искусство,label
рел.,религия,label
ист.,история,label
с.,х. – сельское хозяйство,label
карт.,термин карточной игры,label
служ.,служебное,label
книжн.,книжное,label
см.,смотри,label
кул.,кулинария,label
собир.,собирательное,label
-л.,-либо,label
ласк.,ласкательное,label
спорт.,спортивное,label
лингв.,лингвистика,label
ср.,сравни,label
сравн. ст.,сравнительная степень,label
физ.,физика,label
страд.,страдательный залог,label
физиол.,физиология,label
сущ.,существительное,label
филос.,философия,label
табуир.,табуированное,label
фин.,финансовый термин,label
т.д.,так далее,label
фольк.,фольклор,label
т.п.,тому подобное,label
функц.,функция,label
театр.,театральный термин,label
хим.,химия,label
тех.,техника,label
ч.,число,label
типогр.,типографский термин,label
числ.,имя числительное,label
уменьш.,уменьшительное,label
эвф.,эвфемизм,label
уменьш.,ласк. – уменьшительно-,label
эк.,экономика,label
эл.,электротехника,label
уст.,устарелое,label
этн.,этнография,label
ф.,форма,label
юр.,юридический термин,label
АА,Алтай алкыштар / Сост.: Укачина,source
"К. Е., Ямаева Е. Е.","Горно-Алтайск, 1993.",source
АБ,Алтай баатырлар. I–XII т.т. –,source
Горно,Алтайск: Горно-Алтайское отделение Алтайского,source
"книжного издательства, 1959",1995.,source
АД,"Алтай jаҥ / Сост.: В. А. Муйтуева,",source
М. П. Чочкина.,"Горно-Алтайск: Горно-Алтайская типография, 1996. Ажуда (газета Онгудайского района)",source
АзЧ,Азия чöрчöктöри / Сказки народов,source
Восточной Азии. Том. 1.,Горно-Алтайск: БУ РА,source
Литературно,"издательский дом «Алтын-Туу»,",source
2014.,312 с.; Öзöк Азия чöрчöктöри / Сказки народов Центральной Азии. Том. 2. –,source
Горно,Алтайск: БУ РА Литературно-издательский дом,source
«Алтын,"Туу», 2015. – 436 с.",source
АКК,Алтай кеп-куучындар / Сост.:,source
"Е. Е. Ямаева, И. Б. Шинжин.",Горно-Алтайск:,source
Издательство «Ак,"Чечек», 1994.",source
АНС,Алтайские народные сказки /,source
составитель,"переводчик, автор вступительной статьи, примечаний и комментариев, словаря непереведённых слов, списка сокращений, списка источников и литературы М. А. Демчинова",source
/ БНУ РА «Научно,исследовательский институт алтаистики им. С. С. Суразакова». –,source
Горно,"Алтайск, 2016. – 352 с.: ил.",source
АЧ,Алтайдыҥ Чолмоны (республиканская массовая газета),source
ДТББ,Jеткер-тÿбекке тÿшкендерге баштапкы болуш / Оказание первой помощи,source
пострадавшим.,"Горно-Алтайск, 2016.",source
СКК,"Сооjындар ла кеп-куучындар / Сост.: Е. Е. Ямаева, К. В. Яданова, М. А. Демчинова.",source
– Горно,"Алтайск, 2007.",source
ЯФЧ,Н. К. Ялатовтыҥ фольклор чӱмдемелдери (Фольклорные произведения,source
Н. К. Ялатова) / Составитель,"переводчик, автор предисловия, исследовательской статьи и научного аппарата М. А. Демчинова; БНУ РА «НИИ алтаистики им. С. С. Суразакова».",source
– Горно,"Алтайск, 2017. – 160 с. - 13 -",source
